path	line	category	callee	parameter	root
benchmarks/dict_count.witchy	5	auxiliary-result-discard	dict.insert	-	-
examples/dice/src/dice.witchy	14	expression-position-mutator	prng.Rng__next_below	-	-
examples/maze/src/maze.witchy	83	auxiliary-result-discard	dict.insert	-	-
examples/wordcount/src/wordcount.witchy	9	auxiliary-result-discard	dict.insert	-	-
projects/glamour/src/glamour.witchy	574	expression-position-mutator	dict.insert__String__Int	-	-
projects/glamour/src/glamour.witchy	580	expression-position-mutator	dict.insert__String__Int	-	-
projects/glamour/src/glamour.witchy	491	auxiliary-result-discard	dict.insert	-	-
projects/glamour/src/glamour.witchy	499	auxiliary-result-discard	dict.insert	-	-
projects/glamour/src/glamour.witchy	542	auxiliary-result-discard	dict.insert	-	-
projects/glamour/src/glamour.witchy	544	auxiliary-result-discard	dict.insert	-	-
std/dict.witchy	21	auxiliary-result-discard	dict.insert	-	-
std/dict.witchy	27	auxiliary-result-discard	dict.__insert_extract	-	-
std/dict.witchy	97	auxiliary-result-discard	dict.remove	-	-
std/dict.witchy	100	auxiliary-result-discard	dict.__remove_extract	-	-
std/list.witchy	42	auxiliary-result-discard	list.__pop_extract	-	-
std/list.witchy	87	auxiliary-result-discard	list.__pop_extract	-	-
std/prng.witchy	92	expression-position-mutator	prng.advance	-	-
std/prng.witchy	67	expression-position-mutator	prng.draw_below	-	-
std/prng.witchy	52	expression-position-mutator	prng.advance	-	-
std/prng.witchy	97	auxiliary-result-discard	prng.choice	-	-
std/prng.witchy	76	auxiliary-result-discard	prng.advance	-	-
std/prng.witchy	88	auxiliary-result-discard	prng.draw_below	-	-
book/src/cookbook-collections.md#block-2	9	auxiliary-result-discard	Set__insert__String	-	-
book/src/mutating-methods.md#block-1	7	expression-position-mutator	main.take_last	-	-
book/src/mutating-methods.md#block-1	2	auxiliary-result-discard	list.pop	-	-
book/src/mutating-methods.md#block-4	3	expression-position-mutator	dict.insert__String__Int	-	-
book/src/mutating-methods.md#block-4	4	expression-position-mutator	dict.insert__String__Int	-	-
book/src/mutating-methods.md#block-4	5	expression-position-mutator	dict.remove__String__Int	-	-
spec/language.md#block-17	7	expression-position-mutator	main.bump	-	-

witchy-files	296
markdown-blocks	235
checked	531
rejected	0
var-declarations	42
resolved-var-calls	741
mechanical-self-reassignment	0
expression-position-mutator	11
immutable-var-argument	0
temporary-var-argument	0
auxiliary-result-discard	18
